STT,C1,C2,D,H,C/D,H/D
24,375,392,2065,1307,0.18159806295399517,0.6329297820823244
25,376,396,2065,1307,0.1820823244552058,0.6329297820823244
26,376,396,2065,1307,0.1820823244552058,0.6329297820823244
27,375,391,2065,1307,0.18159806295399517,0.6329297820823244
28,375,399,2065,1307,0.18159806295399517,0.6329297820823244
29,375,394,2065,1307,0.18159806295399517,0.6329297820823244
30,379,395,2065,1307,0.18353510895883776,0.6329297820823244
31,375,395,2065,1307,0.18159806295399517,0.6329297820823244
32,373,398,2065,1307,0.18062953995157385,0.6329297820823244
33,376,396,2065,1307,0.1820823244552058,0.6329297820823244
