STT,C1,C2,D,H,C/D,H/D
38,379,400,2065,1307,0.18353510895883776,0.6329297820823244
39,375,394,2065,1307,0.18159806295399517,0.6329297820823244
40,379,394,2065,1307,0.18353510895883776,0.6329297820823244
41,376,395,2065,1307,0.1820823244552058,0.6329297820823244
42,381,395,2065,1307,0.18450363196125907,0.6329297820823244
43,375,394,2065,1307,0.18159806295399517,0.6329297820823244
44,379,393,2065,1307,0.18353510895883776,0.6329297820823244
45,374,392,2065,1307,0.1811138014527845,0.6329297820823244
46,375,389,2065,1307,0.18159806295399517,0.6329297820823244
47,375,397,2065,1307,0.18159806295399517,0.6329297820823244
48,375,398,2065,1307,0.18159806295399517,0.6329297820823244
49,375,397,2065,1307,0.18159806295399517,0.6329297820823244
Next checktime
0,375,397,2065,1307,0.18159806295399517,0.6329297820823244
1,375,394,2065,1307,0.18159806295399517,0.6329297820823244
2,378,400,2065,1307,0.18305084745762712,0.6329297820823244
3,382,407,2065,1307,0.18498789346246974,0.6329297820823244
4,372,397,2065,1307,0.18014527845036318,0.6329297820823244
5,376,396,2065,1307,0.1820823244552058,0.6329297820823244
6,378,395,2065,1307,0.18305084745762712,0.6329297820823244
7,376,395,2065,1307,0.1820823244552058,0.6329297820823244
8,381,400,2065,1307,0.18450363196125907,0.6329297820823244
9,375,397,2065,1307,0.18159806295399517,0.6329297820823244
10,375,397,2065,1307,0.18159806295399517,0.6329297820823244
11,375,397,2065,1307,0.18159806295399517,0.6329297820823244
12,375,402,2065,1307,0.18159806295399517,0.6329297820823244
13,380,393,2065,1307,0.18401937046004843,0.6329297820823244
14,376,396,2065,1307,0.1820823244552058,0.6329297820823244
15,375,400,2065,1307,0.18159806295399517,0.6329297820823244
16,375,393,2065,1307,0.18159806295399517,0.6329297820823244
17,375,395,2065,1307,0.18159806295399517,0.6329297820823244
18,375,395,2065,1307,0.18159806295399517,0.6329297820823244
19,380,394,2065,1307,0.18401937046004843,0.6329297820823244
20,374,392,2065,1307,0.1811138014527845,0.6329297820823244
21,374,395,2065,1307,0.1811138014527845,0.6329297820823244
22,375,395,2065,1307,0.18159806295399517,0.6329297820823244
23,371,395,2065,1307,0.17966101694915254,0.6329297820823244
24,375,394,2065,1307,0.18159806295399517,0.6329297820823244
25,379,396,2065,1307,0.18353510895883776,0.6329297820823244
26,379,397,2065,1307,0.18353510895883776,0.6329297820823244
27,379,397,2065,1307,0.18353510895883776,0.6329297820823244
28,374,392,2065,1307,0.1811138014527845,0.6329297820823244
29,374,395,2065,1307,0.1811138014527845,0.6329297820823244
30,375,396,2065,1307,0.18159806295399517,0.6329297820823244
31,379,392,2065,1307,0.18353510895883776,0.6329297820823244
32,379,394,2065,1307,0.18353510895883776,0.6329297820823244
33,375,394,2065,1307,0.18159806295399517,0.6329297820823244
34,375,394,2065,1307,0.18159806295399517,0.6329297820823244
35,378,397,2065,1307,0.18305084745762712,0.6329297820823244
36,375,395,2065,1307,0.18159806295399517,0.6329297820823244
37,376,394,2065,1307,0.1820823244552058,0.6329297820823244
38,379,394,2065,1307,0.18353510895883776,0.6329297820823244
39,375,395,2065,1307,0.18159806295399517,0.6329297820823244
40,375,398,2065,1307,0.18159806295399517,0.6329297820823244
41,376,395,2065,1307,0.1820823244552058,0.6329297820823244
42,375,395,2065,1307,0.18159806295399517,0.6329297820823244
43,382,393,2065,1307,0.18498789346246974,0.6329297820823244
44,376,395,2065,1307,0.1820823244552058,0.6329297820823244
45,375,394,2065,1307,0.18159806295399517,0.6329297820823244
46,376,399,2065,1307,0.1820823244552058,0.6329297820823244
47,374,393,2065,1307,0.1811138014527845,0.6329297820823244
48,375,395,2065,1307,0.18159806295399517,0.6329297820823244
49,375,402,2065,1307,0.18159806295399517,0.6329297820823244
Next checktime
0,375,394,2065,1307,0.18159806295399517,0.6329297820823244
1,375,397,2065,1307,0.18159806295399517,0.6329297820823244
2,380,394,2065,1307,0.18401937046004843,0.6329297820823244
3,375,395,2065,1307,0.18159806295399517,0.6329297820823244
4,375,398,2065,1307,0.18159806295399517,0.6329297820823244
5,381,395,2065,1307,0.18450363196125907,0.6329297820823244
6,380,395,2065,1307,0.18401937046004843,0.6329297820823244
7,375,392,2065,1307,0.18159806295399517,0.6329297820823244
8,373,393,2065,1307,0.18062953995157385,0.6329297820823244
