STT,C1,C2,D,H,C1/D,C2/D,H/D
31,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
32,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
33,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
34,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
35,379,399,2060,1307,0.18398058252427185,0.19368932038834952,0.6344660194174757
36,374,399,2061,1306,0.18146530810286268,0.19359534206695778,0.633672974284328
37,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
38,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
39,380,399,2060,1306,0.18446601941747573,0.19368932038834952,0.6339805825242718
40,382,398,2060,1307,0.18543689320388348,0.19320388349514564,0.6344660194174757
41,372,398,2060,1307,0.18058252427184465,0.19320388349514564,0.6344660194174757
42,381,398,2060,1307,0.1849514563106796,0.19320388349514564,0.6344660194174757
43,372,399,2061,1307,0.1804949053857351,0.19359534206695778,0.6341581756428918
44,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
45,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
46,374,397,2060,1307,0.18155339805825244,0.19271844660194173,0.6344660194174757
47,374,397,2060,1307,0.18155339805825244,0.19271844660194173,0.6344660194174757
48,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
49,374,400,2060,1307,0.18155339805825244,0.1941747572815534,0.6344660194174757
Checkpoint {number_check} completed.
0,374,393,2061,1307,0.18146530810286268,0.19068413391557495,0.6341581756428918
1,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
2,379,393,2060,1306,0.18398058252427185,0.19077669902912622,0.6339805825242718
3,379,393,2060,1306,0.18398058252427185,0.19077669902912622,0.6339805825242718
4,381,398,2060,1307,0.1849514563106796,0.19320388349514564,0.6344660194174757
5,375,400,2060,1307,0.1820388349514563,0.1941747572815534,0.6344660194174757
6,382,400,2060,1307,0.18543689320388348,0.1941747572815534,0.6344660194174757
7,375,402,2060,1307,0.1820388349514563,0.19514563106796118,0.6344660194174757
8,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
9,376,399,2060,1307,0.1825242718446602,0.19368932038834952,0.6344660194174757
10,381,398,2060,1307,0.1849514563106796,0.19320388349514564,0.6344660194174757
11,381,398,2060,1307,0.1849514563106796,0.19320388349514564,0.6344660194174757
12,374,400,2060,1307,0.18155339805825244,0.1941747572815534,0.6344660194174757
13,375,402,2060,1307,0.1820388349514563,0.19514563106796118,0.6344660194174757
14,374,401,2061,1307,0.18146530810286268,0.1945657447840854,0.6341581756428918
15,380,398,2060,1307,0.18446601941747573,0.19320388349514564,0.6344660194174757
16,375,401,2060,1307,0.1820388349514563,0.19466019417475727,0.6344660194174757
17,378,398,2060,1306,0.18349514563106797,0.19320388349514564,0.6339805825242718
18,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
19,378,397,2060,1307,0.18349514563106797,0.19271844660194173,0.6344660194174757
20,379,403,2061,1307,0.1838913148956817,0.195536147501213,0.6341581756428918
21,380,393,2060,1307,0.18446601941747573,0.19077669902912622,0.6344660194174757
22,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
23,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
24,373,398,2061,1306,0.18098010674429887,0.193110140708394,0.633672974284328
25,374,400,2060,1307,0.18155339805825244,0.1941747572815534,0.6344660194174757
26,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
27,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
28,373,399,2060,1306,0.18106796116504853,0.19368932038834952,0.6339805825242718
29,374,398,2061,1307,0.18146530810286268,0.193110140708394,0.6341581756428918
30,375,404,2060,1307,0.1820388349514563,0.19611650485436893,0.6344660194174757
31,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
32,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
33,375,400,2060,1307,0.1820388349514563,0.1941747572815534,0.6344660194174757
34,373,399,2060,1306,0.18106796116504853,0.19368932038834952,0.6339805825242718
35,373,399,2060,1306,0.18106796116504853,0.19368932038834952,0.6339805825242718
36,373,398,2060,1307,0.18106796116504853,0.19320388349514564,0.6344660194174757
37,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
38,376,399,2060,1307,0.1825242718446602,0.19368932038834952,0.6344660194174757
39,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
40,375,399,2061,1306,0.1819505094614265,0.19359534206695778,0.633672974284328
41,375,399,2061,1306,0.1819505094614265,0.19359534206695778,0.633672974284328
