STT,C1,C2,D,H,C1/D,C2/D,H/D
5,381,393,2060,1307,0.1849514563106796,0.19077669902912622,0.6344660194174757
6,382,398,2060,1307,0.18543689320388348,0.19320388349514564,0.6344660194174757
7,380,393,2060,1307,0.18446601941747573,0.19077669902912622,0.6344660194174757
8,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
9,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
10,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
11,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
12,379,398,2060,1307,0.18398058252427185,0.19320388349514564,0.6344660194174757
13,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
14,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
15,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
16,377,399,2060,1306,0.18300970873786407,0.19368932038834952,0.6339805825242718
17,379,398,2061,1306,0.1838913148956817,0.193110140708394,0.633672974284328
18,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
19,380,398,2061,1307,0.1843765162542455,0.193110140708394,0.6341581756428918
20,374,404,2060,1307,0.18155339805825244,0.19611650485436893,0.6344660194174757
21,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
22,372,398,2060,1307,0.18058252427184465,0.19320388349514564,0.6344660194174757
23,375,401,2060,1307,0.1820388349514563,0.19466019417475727,0.6344660194174757
24,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
25,375,400,2061,1307,0.1819505094614265,0.19408054342552158,0.6341581756428918
26,379,404,2060,1307,0.18398058252427185,0.19611650485436893,0.6344660194174757
27,370,399,2061,1307,0.17952450266860748,0.19359534206695778,0.6341581756428918
28,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
29,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
30,374,400,2060,1307,0.18155339805825244,0.1941747572815534,0.6344660194174757
31,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
32,376,399,2060,1307,0.1825242718446602,0.19368932038834952,0.6344660194174757
33,375,397,2060,1307,0.1820388349514563,0.19271844660194173,0.6344660194174757
34,372,398,2060,1307,0.18058252427184465,0.19320388349514564,0.6344660194174757
35,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
36,380,398,2060,1307,0.18446601941747573,0.19320388349514564,0.6344660194174757
37,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
38,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
39,380,398,2060,1307,0.18446601941747573,0.19320388349514564,0.6344660194174757
40,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
41,379,398,2060,1306,0.18398058252427185,0.19320388349514564,0.6339805825242718
42,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
43,380,398,2060,1307,0.18446601941747573,0.19320388349514564,0.6344660194174757
44,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
45,376,399,2060,1307,0.1825242718446602,0.19368932038834952,0.6344660194174757
46,381,398,2060,1307,0.1849514563106796,0.19320388349514564,0.6344660194174757
47,381,398,2060,1307,0.1849514563106796,0.19320388349514564,0.6344660194174757
48,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
49,374,399,2060,1307,0.18155339805825244,0.19368932038834952,0.6344660194174757
Checkpoint {number_check} completed.
0,380,399,2060,1307,0.18446601941747573,0.19368932038834952,0.6344660194174757
1,381,398,2060,1307,0.1849514563106796,0.19320388349514564,0.6344660194174757
2,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
3,379,400,2060,1306,0.18398058252427185,0.1941747572815534,0.6339805825242718
4,374,398,2060,1306,0.18155339805825244,0.19320388349514564,0.6339805825242718
5,374,398,2060,1306,0.18155339805825244,0.19320388349514564,0.6339805825242718
6,380,398,2060,1307,0.18446601941747573,0.19320388349514564,0.6344660194174757
7,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
8,380,398,2060,1306,0.18446601941747573,0.19320388349514564,0.6339805825242718
9,381,398,2060,1307,0.1849514563106796,0.19320388349514564,0.6344660194174757
10,375,398,2060,1307,0.1820388349514563,0.19320388349514564,0.6344660194174757
11,380,398,2061,1307,0.1843765162542455,0.193110140708394,0.6341581756428918
12,374,398,2060,1307,0.18155339805825244,0.19320388349514564,0.6344660194174757
13,378,398,2060,1307,0.18349514563106797,0.19320388349514564,0.6344660194174757
14,372,400,2060,1307,0.18058252427184465,0.1941747572815534,0.6344660194174757
15,376,399,2060,1307,0.1825242718446602,0.19368932038834952,0.6344660194174757
16,375,399,2060,1307,0.1820388349514563,0.19368932038834952,0.6344660194174757
17,374,401,2060,1307,0.18155339805825244,0.19466019417475727,0.6344660194174757
