14-05-20-03-04-26
Time,C,D,H,C/D,H/D
15-16-14-03-04-26,275.0,1322.0,891.0,20.8018154311649,67.39788199697429
15-16-23-03-04-26,267.0,1360.0,932.0,19.63235294117647,68.52941176470588
15-16-31-03-04-26,264.0,1342.0,869.0,19.672131147540984,64.75409836065575
15-16-40-03-04-26,251.0,1320.0,878.0,19.015151515151516,66.51515151515152
15-16-49-03-04-26,249.0,1317.0,888.0,18.906605922551254,67.42596810933941
15-16-58-03-04-26,283.0,1340.0,921.0,21.119402985074625,68.73134328358209
15-17-08-03-04-26,269.0,1354.0,895.0,19.86706056129985,66.10044313146234
15-17-26-03-04-26,276.0,1356.0,935.0,20.353982300884958,68.952802359882
15-17-35-03-04-26,285.0,1310.0,907.0,21.755725190839694,69.23664122137406
15-17-43-03-04-26,267.0,1311.0,864.0,20.36613272311213,65.90389016018307
15-17-52-03-04-26,269.0,1359.0,906.0,19.793966151582048,66.66666666666666
15-18-01-03-04-26,265.0,1327.0,877.0,19.9698568198945,66.08892238131124
15-18-09-03-04-26,258.0,1316.0,885.0,19.6048632218845,67.24924012158054
15-18-18-03-04-26,271.0,1346.0,895.0,20.13372956909361,66.49331352154532
15-18-27-03-04-26,259.0,1341.0,904.0,19.31394481730052,67.4123788217748
15-18-36-03-04-26,273.0,1343.0,948.0,20.327624720774388,70.58823529411765
15-18-45-03-04-26,286.0,1339.0,898.0,21.35922330097087,67.06497386109037
15-18-53-03-04-26,291.0,1340.0,916.0,21.71641791044776,68.35820895522387
15-19-01-03-04-26,264.0,1332.0,899.0,19.81981981981982,67.49249249249249
15-19-10-03-04-26,257.0,1363.0,912.0,18.855465884079237,66.9112252384446
15-19-19-03-04-26,244.0,1307.0,891.0,18.668706962509564,68.17138485080336
15-19-31-03-04-26,299.0,1335.0,891.0,22.397003745318354,66.74157303370787
15-19-41-03-04-26,283.0,1324.0,906.0,21.37462235649547,68.42900302114803
15-19-49-03-04-26,280.0,1341.0,918.0,20.87994034302759,68.45637583892618
15-19-58-03-04-26,276.0,1306.0,890.0,21.133231240428792,68.1470137825421
15-20-06-03-04-26,293.0,1342.0,927.0,21.833084947839048,69.07600596125187
15-20-15-03-04-26,258.0,1356.0,898.0,19.02654867256637,66.22418879056046
15-20-24-03-04-26,260.0,1318.0,869.0,19.726858877086496,65.93323216995448
15-20-32-03-04-26,247.0,1334.0,915.0,18.515742128935532,68.59070464767616
15-20-42-03-04-26,287.0,1355.0,931.0,21.18081180811808,68.70848708487085
15-20-51-03-04-26,265.0,1355.0,901.0,19.557195571955717,66.49446494464945
15-21-00-03-04-26,257.0,1338.0,885.0,19.20777279521674,66.14349775784754
15-21-09-03-04-26,269.0,1329.0,880.0,20.240782543265613,66.21519939804365
15-21-18-03-04-26,269.0,1349.0,899.0,19.94069681245367,66.64195700518903
15-21-27-03-04-26,265.0,1309.0,879.0,20.24446142093201,67.15049656226127
15-21-36-03-04-26,257.0,1327.0,882.0,19.366993217784476,66.46571213262999
15-21-45-03-04-26,284.0,1331.0,901.0,21.337340345604808,67.69346356123216
15-21-54-03-04-26,286.0,1337.0,900.0,21.39117427075542,67.31488406881077
15-22-03-03-04-26,267.0,1341.0,883.0,19.910514541387027,65.84638329604773
15-22-11-03-04-26,256.0,1310.0,872.0,19.541984732824428,66.5648854961832
15-22-20-03-04-26,269.0,1344.0,939.0,20.014880952380953,69.86607142857143
15-22-29-03-04-26,302.0,1330.0,903.0,22.706766917293233,67.89473684210526
15-22-38-03-04-26,291.0,1359.0,927.0,21.41280353200883,68.21192052980133
15-22-47-03-04-26,277.0,1353.0,901.0,20.473022912047302,66.59275683665928
15-22-56-03-04-26,274.0,1338.0,893.0,20.47832585949178,66.74140508221225
15-23-05-03-04-26,287.0,1323.0,916.0,21.693121693121693,69.2365835222978
15-23-14-03-04-26,279.0,1337.0,888.0,20.867614061331338,66.41735228122663
15-23-22-03-04-26,259.0,1351.0,881.0,19.170984455958546,65.21095484826056
15-23-31-03-04-26,273.0,1353.0,893.0,20.17738359201774,66.00147819660015
15-23-39-03-04-26,276.0,1341.0,885.0,20.581655480984338,65.99552572706935
15-23-48-03-04-26,256.0,1328.0,899.0,19.27710843373494,67.69578313253012
15-23-56-03-04-26,269.0,1334.0,890.0,20.164917541229386,66.71664167916042
15-24-04-03-04-26,266.0,1363.0,914.0,19.515774027879676,67.05796038151138
15-24-12-03-04-26,286.0,1334.0,919.0,21.43928035982009,68.89055472263868
15-24-20-03-04-26,276.0,1359.0,910.0,20.309050772626932,66.96100073583517
15-24-28-03-04-26,280.0,1350.0,897.0,20.74074074074074,66.44444444444444
15-24-36-03-04-26,275.0,1332.0,901.0,20.645645645645647,67.64264264264264
15-24-45-03-04-26,266.0,1324.0,878.0,20.090634441087612,66.31419939577039
15-24-53-03-04-26,266.0,1329.0,900.0,20.0150489089541,67.72009029345372
15-25-01-03-04-26,261.0,1358.0,896.0,19.219440353460975,65.97938144329896
15-25-09-03-04-26,270.0,1340.0,898.0,20.149253731343283,67.01492537313433
15-25-17-03-04-26,266.0,1308.0,921.0,20.33639143730887,70.41284403669725
15-25-25-03-04-26,321.0,1331.0,996.0,24.117205108940645,74.83095416979715
15-25-33-03-04-26,32.0,1335.0,870.0,2.397003745318352,65.1685393258427
15-25-42-03-04-26,243.0,1317.0,886.0,18.45102505694761,67.27410782080486
15-25-51-03-04-26,287.0,1313.0,971.0,21.85833968012186,73.95277989337396
